,PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE
0,1A,149,12,75,62,0,28,3,8,17,0,811,24,432,355,0,1223
1,1B,225,16,109,100,0,31,2,15,14,0,1320,21,708,591,0,2008
2,1C,139,6,39,94,0,24,0,7,17,0,638,15,223,400,0,1002
3,1D,122,2,57,63,0,36,1,10,25,0,1006,12,444,550,0,1445
4,2A,249,9,130,110,0,51,1,20,30,0,1288,31,681,576,0,1907
5,2B,356,12,149,195,0,64,3,17,44,0,1335,45,616,673,1,2272
6,2C,463,23,204,236,0,53,2,22,29,0,1643,39,815,789,0,2767
7,3A,162,6,78,78,0,18,0,7,11,0,569,23,279,264,3,995
8,3B,336,18,125,193,0,24,0,5,19,0,541,9,284,247,1,1183
9,3C,226,11,132,83,0,20,1,10,9,0,824,19,498,307,0,1404
10,3D,427,15,213,199,0,49,2,18,29,0,1124,21,682,421,0,1996
11,4A,353,12,195,146,0,64,5,30,29,0,1432,41,909,482,0,2425
12,4B,306,11,189,105,1,23,0,6,17,0,636,12,361,263,0,1291
13,4C,190,7,102,81,0,54,0,24,30,0,1213,29,658,525,1,1953
14,5A,283,22,116,145,0,44,3,20,21,0,1296,36,683,577,0,2071
15,5B,648,23,285,340,0,61,1,24,36,0,1457,32,724,701,0,2821
16,5C,219,8,81,130,0,35,0,13,22,0,741,23,354,363,1,1266
